Company,Type,City,State / Province,Country
Blastworks Inc (Gaming Realms), Developer,Victoria,British Columbia,Canada
Blue Wizard Digital, Mobile,Cumberland,British Columbia,Canada
Caper Games, Developer,Victoria,British Columbia,Canada
Cedar Hill Games, Mobile,Victoria,British Columbia,Canada
Cloudhead Games, Virtual Reality,Victoria,British Columbia,Canada
Codename Entertainment, Developer,Victoria,British Columbia,Canada
Double Jump, Mobile,Victoria,British Columbia,Canada
Fancy Skeleton Games, Mobile,Victoria,British Columbia,Canada
Gaslamp Games, Developer,Victoria,British Columbia,Canada
Hololabs, Developer,Victoria,British Columbia,Canada
igda Victoria Chapter, Organization,Victoria,British Columbia,Canada
Inlight Entertainment, Developer,Victoria,British Columbia,Canada
Kano Apps, Mobile,Victoria,British Columbia,Canada
KIXEYE Canada, Online,Victoria,British Columbia,Canada
Metalhead, Developer,Victoria,British Columbia,Canada
One Bit Labs, Developer,Victoria,British Columbia,Canada
RaceRocks, Serious Games,Victoria,British Columbia,Canada
Red Nexus Games, Developer,Victoria,British Columbia,Canada
Spacewave Software, Developer,Victoria,British Columbia,Canada
Superbrothers, Developer,Victoria,British Columbia,Canada
Tetragram, Developer,Victoria,British Columbia,Canada
Tiny Mob Games, Developer,Victoria,British Columbia,Canada
4A Games, Developer,Bratislava,Bratislavsky kraj,Slovakia
Atomontage, Developer,Bratislava,Bratislavsky kraj,Slovakia
Bitmap Galaxy, Developer,Bratislava,Bratislavsky kraj,Slovakia
Blue Brain Games, Developer,Bratislava,Bratislavsky kraj,Slovakia
Bohemia Interactive, Developer,Bratislava,Bratislavsky kraj,Slovakia
Bongfish, Publisher,Graz,Steiermark,Austria
Broken Rules, Developer,Vienna,Vienna,Austria
Cauldron, Developer,Bratislava,Bratislavsky kraj,Slovakia
Cliffhanger Productions, Online,Vienna,Vienna,Austria
Clockstone Studio, Developer,Innsbruck,Tyrol,Austria
Crafty Studios Game Development, Developer,Pöttsching,Burgenland,Austria
Doublequote Studio, Developer,Bratislava,Bratislavsky kraj,Slovakia
Exozet, Developer,Vienna,Vienna,Austria
Fatbot Games, Developer,Bratislava,Bratislavsky kraj,Slovakia
Games Austria, Organization,Vienna,Vienna,Austria
Impetus Games, Developer,Vienna,Vienna,Austria
Inlogic Software, Mobile,Banska Bystrica,Banskobystricky kraj,Slovakia
Iron Mountain Interactive, Developer,Vienna,Vienna,Austria
Koch Media, Publisher,Hofen,Reutte,Austria
Mi'pu'mi Games, Developer,Vienna,Vienna,Austria
Moon Studios, Developer,Vienna,Vienna,Austria
Neutraworks, Developer,Nitra,Nitriansky kraj,Slovakia
Nine Rock Games (THQ Nordic), Developer,Bratislava,Bratislavsky kraj,Slovakia
Pixel Federation, Developer,Bratislava,Bratislavsky kraj,Slovakia
PLAYnica, Mobile,Zilina,Zilinsky kraj,Slovakia
Poetic Studio, Developer,Banská Bystrica,Banskobystrický kraj,Slovakia
Powerplay Manager, Developer,Bratislava,Bratislavsky kraj,Slovakia
Purple Lamp, Developer,Vienna,Vienna,Austria
Rarebyte, Developer,Graz,Steiermark,Austria
Rarebyte, Developer,Vienna,Vienna,Austria
REDOX Game Labs, Developer,Salzburg,Salzburg,Austria
Slovak Game Developers Association, Organization,Bratislava,Bratislavsky kraj,Slovakia
Sproing, Developer,Vienna,Vienna,Austria
Stadlbauer Marketing & Vertriebs, Publisher,Salzburg,Salzburg,Austria
stillalive studios, Developer,Innsbruck,Tyrol,Austria
SUNFOX Games, Online,Vienna,Vienna,Austria
Supertreat (Playtika), Mobile,Graz,Steiermark,Austria
Team Vienna, Online,Vienna,Vienna,Austria
THQ Nordic, Publisher,Vienna,Vienna,Austria
THQ Nordic, Publisher,Vienna,Vienna,Austria
We Make Games, Developer,Bratislava,Bratislavsky kraj,Slovakia
Xendex Holding, Publisher,Graz,Steiermark,Austria
Zeppelin Studio, Developer,Vienna,Vienna,Austria
Lightning Rock, Mobile,Canberra,Australian Capital Territory,Australia
Panther Games , Developer,Canberra,Australian Capital Territory,Australia
Subversive Games, Developer,Canberra,Australian Capital Territory,Australia
